Time [s],TX,RX
3.002403600,1,0
3.002420960,1,1
3.002429680,1,0
3.002447000,1,1
3.002455720,1,0
3.002464400,1,1
3.002473040,1,0
3.002481760,1,1
3.002490440,1,0
3.002516480,1,1
3.002525160,1,0
3.002533840,1,1
3.002542520,1,0
3.002551200,1,1
3.002559880,1,0
3.002568560,1,1
3.002577240,1,0
3.002585920,1,1
3.002594600,1,0
3.002603320,1,1
3.002611960,1,0
3.002620640,1,1
3.002629360,1,0
3.002638040,1,1
3.002646720,1,0
3.002655400,1,1
3.002664080,1,0
3.002707480,1,1
3.002716160,1,0
3.002724840,1,1
3.002733520,1,0
3.002742200,1,1
3.002750880,1,0
3.002803000,1,1
3.002811680,1,0
3.002829040,1,1
3.002837720,1,0
3.002846400,1,1
3.002855080,1,0
3.002863760,1,1
3.002881120,1,0
3.002898480,1,1
3.002907160,1,0
3.002915840,1,1
3.002924520,1,0
3.002933200,1,1
3.002967960,1,0
3.002985320,1,1
3.002994000,1,0
3.003002680,1,1
3.003011360,1,0
3.003037400,1,1
3.003046080,1,0
3.003072120,1,1
3.003080800,1,0
3.003089520,1,1
3.003098160,1,0
3.003106840,1,1
3.003115560,1,0
3.003124240,1,1
3.003132920,1,0
3.003158960,1,1
3.003167640,1,0
3.003176320,1,1
3.003185000,1,0
3.003237080,1,1
3.003245760,1,0
3.003263160,1,1
3.003271800,1,0
3.003280480,1,1
3.003289200,1,0
3.003297880,1,1
3.003332600,1,0
3.003349960,1,1
3.003358640,1,0
3.003410720,1,1
3.003419400,1,0
3.003436800,1,1
3.003445440,1,0
3.003454120,1,1
3.003462840,1,0
3.003488880,1,1
3.003506240,1,0
3.003523600,1,1
3.003532280,1,0
3.003549640,1,1
3.003558320,1,0
3.003567000,1,1
3.003575720,1,0
3.003610440,1,1
3.110573200,1,0
3.110590560,1,1
3.110616600,1,0
3.110634000,1,1
3.110642640,1,0
3.110651320,1,1
3.110660040,1,0
3.110668720,1,1
3.110703440,1,0
3.110720800,1,1
3.110729480,1,0
3.110738160,1,1
3.110746840,1,0
3.110772880,1,1
3.110781560,1,0
3.110790240,1,1
3.110798960,1,0
3.110807640,1,1
3.110816280,1,0
3.110824960,1,1
3.110833680,1,0
3.110842360,1,1
3.110851040,1,0
3.110868400,1,1
3.110877080,1,0
3.110894440,1,1
3.110903120,1,0
3.110911800,1,1
3.110920480,1,0
3.110929160,1,1
3.110946560,1,0
3.110981280,1,1
3.110989920,1,0
3.110998640,1,1
3.111007320,1,0
3.111016000,1,1
3.111024680,1,0
3.111033360,1,1
3.111042040,1,0
3.111068080,1,1
3.111076760,1,0
3.111085440,1,1
3.111094120,1,0
3.111111480,1,1
3.111120200,1,0
3.111128840,1,1
3.111154920,1,0
3.111172280,1,1
3.111180960,1,0
3.111233040,1,1
3.111241720,1,0
3.111259080,1,1
3.111267760,1,0
3.111319880,1,1
3.111328560,1,0
3.111345920,1,1
3.111354600,1,0
3.111371960,1,1
3.111380640,1,0
3.111415360,1,1
3.111424040,1,0
3.111432720,1,1
3.111441400,1,0
3.111450080,1,1
3.111484840,1,0
3.111493520,1,1
3.111510880,1,0
3.111519560,1,1
3.111528240,1,0
3.111536920,1,1
3.111571640,1,0
3.111580320,1,1
3.111597680,1,0
3.111606400,1,1
3.111615040,1,0
3.111641120,1,1
3.111649800,1,0
3.111658480,1,1
3.111684520,1,0
3.111693200,1,1
3.111701880,1,0
3.111710560,1,1
3.111719240,1,0
3.111736600,1,1
3.111745320,1,0
3.111753960,1,1
3.111771360,1,0
3.111780040,1,1
3.111788680,1,0
3.111806080,1,1
3.111832120,1,0
3.111840800,1,1
3.111858160,1,0
3.111866840,1,1
3.111875520,1,0
3.111884200,1,1
3.111910240,1,0
3.111927600,1,1
3.111945000,1,0
3.111953680,1,1
3.111962320,1,0
3.112014440,1,1
3.112023120,1,0
3.112040480,1,1
3.112049160,1,0
3.112075200,1,1
3.112083880,1,0
3.112092560,1,1
3.112101240,1,0
3.112109920,1,1
3.112118640,1,0
3.112127320,1,1
3.112135960,1,0
3.112153360,1,1
3.112162040,1,0
3.112179400,1,1
3.112205440,1,0
3.112214120,1,1
3.112222800,1,0
3.112231480,1,1
3.112240160,1,0
3.112248840,1,1
3.112257560,1,0
3.112266240,1,1
3.112292280,1,0
3.112300960,1,1
3.112309640,1,0
3.112318320,1,1
3.112335680,1,0
3.112353040,1,1
3.112379080,1,0
3.112387760,1,1
3.112396440,1,0
3.112422480,1,1
3.112431200,1,0
3.112439880,1,1
3.112465920,1,0
3.112474600,1,1
3.112483280,1,0
3.112491960,1,1
3.112500640,1,0
3.112509320,1,1
3.112518000,1,0
3.112535360,1,1
3.112552720,1,0
3.112561400,1,1
3.112570080,1,0
3.112596120,1,1
3.112604840,1,0
3.112622160,1,1
3.112639560,1,0
3.112648240,1,1
3.112656920,1,0
3.112709000,1,1
3.112717680,1,0
3.112735040,1,1
3.112743720,1,0
3.112761080,1,1
3.112778480,1,0
3.112804520,1,1
3.112813200,1,0
3.112821880,1,1
3.112830560,1,0
3.112839240,1,1
3.112847920,1,0
3.112865280,1,1
3.112873960,1,0
3.112882640,1,1
3.112900000,1,0
3.112908680,1,1
3.112917400,1,0
3.112934720,1,1
3.112943440,1,0
3.112960800,1,1
3.112986840,1,0
3.112995520,1,1
3.113004200,1,0
3.113012880,1,1
3.113021560,1,0
3.113030240,1,1
3.113047600,1,0
3.113056280,1,1
3.113073640,1,0
3.113082320,1,1
3.113091040,1,0
3.113099720,1,1
3.113125760,1,0
3.113134440,1,1
3.113160480,1,0
3.113169160,1,1
3.113177840,1,0
3.113186520,1,1
3.113195200,1,0
3.113229920,1,1
3.113247280,1,0
3.113255960,1,1
3.113264680,1,0
3.113282000,1,1
3.113290720,1,0
3.113308080,1,1
3.113334120,1,0
3.113342800,1,1
3.113351480,1,0
3.113360160,1,1
3.113368840,1,0
3.113377520,1,1
3.113386200,1,0
3.113403560,1,1
3.113420920,1,0
3.113429600,1,1
3.113438320,1,0
3.113455640,1,1
3.113464360,1,0
3.113473040,1,1
3.113481720,1,0
3.113516440,1,1
3.252602600,1,0
3.252619920,1,1
3.252646000,1,0
3.252663360,1,1
3.252672040,1,0
3.252680720,1,1
3.252689400,1,0
3.252698080,1,1
3.252732800,1,0
3.252750160,1,1
3.252758840,1,0
3.252767520,1,1
3.252776240,1,0
3.252802280,1,1
3.252810960,1,0
3.252819600,1,1
3.252828320,1,0
3.252837000,1,1
3.252845680,1,0
3.252854360,1,1
3.252863040,1,0
3.252871720,1,1
3.252880400,1,0
3.252897760,1,1
3.252906440,1,0
3.252923800,1,1
3.252932480,1,0
3.252941160,1,1
3.252949880,1,0
3.252958520,1,1
3.252975920,1,0
3.253010640,1,1
3.253019320,1,0
3.253028000,1,1
3.253036680,1,0
3.253045360,1,1
3.253054040,1,0
3.253062720,1,1
3.253071400,1,0
3.253097440,1,1
3.253106120,1,0
3.253114840,1,1
3.253123520,1,0
3.253140880,1,1
3.253149560,1,0
3.253158240,1,1
3.253184280,1,0
3.253201640,1,1
3.253210320,1,0
3.253262440,1,1
3.253271080,1,0
3.253288480,1,1
3.253297160,1,0
3.253349240,1,1
3.253357920,1,0
3.253375280,1,1
3.253383960,1,0
3.253401320,1,1
3.253410000,1,0
3.253444720,1,1
3.253453440,1,0
3.253462120,1,1
3.253470800,1,0
3.253496840,1,1
3.253514200,1,0
3.253531560,1,1
3.253540240,1,0
3.253548920,1,1
3.253557600,1,0
3.253566280,1,1
3.253575000,1,0
3.253601040,1,1
3.253618360,1,0
3.253635760,1,1
3.253644440,1,0
3.253661800,1,1
3.253670480,1,0
3.253679160,1,1
3.253705200,1,0
3.253722560,1,1
3.253731240,1,0
3.253783360,1,1
3.253792040,1,0
3.253809400,1,1
3.253818080,1,0
3.253835440,1,1
3.253852800,1,0
3.253861480,1,1
3.253887560,1,0
3.253896200,1,1
3.253904880,1,0
3.253913560,1,1
3.253922280,1,0
3.253948320,1,1
3.253965680,1,0
3.253983040,1,1
3.253991720,1,0
3.254009080,1,1
3.254035120,1,0
3.254043800,1,1
3.254052480,1,0
3.254069840,1,1
3.254078520,1,0
3.254087240,1,1
3.254104560,1,0
3.254121960,1,1
3.254139320,1,0
3.254156680,1,1
3.254165360,1,0
3.254200080,1,1
3.254208760,1,0
3.254217440,1,1
3.254226120,1,0
3.254243480,1,1
3.254252200,1,0
3.254269560,1,1
3.254278240,1,0
3.254295600,1,1
3.254321640,1,0
3.254330320,1,1
3.254339000,1,0
3.254347680,1,1
3.254356360,1,0
3.254365040,1,1
3.254373760,1,0
3.254391080,1,1
3.254408480,1,0
3.254417120,1,1
3.254425840,1,0
3.254451840,1,1
3.254469240,1,0
3.254477920,1,1
3.254495280,1,0
3.254503960,1,1
3.254512640,1,0
3.254521320,1,1
3.254530000,1,0
3.254538680,1,1
3.254547400,1,0
3.254564720,1,1
3.254582120,1,0
3.254590760,1,1
3.254599480,1,0
3.254608160,1,1
3.254616840,1,0
3.254651560,1,1
3.254668920,1,0
3.254677600,1,1
3.254686280,1,0
3.254694960,1,1
3.254712320,1,0
3.254729680,1,1
3.254755760,1,0
3.254764400,1,1
3.254773120,1,0
3.254781800,1,1
3.254790480,1,0
3.254799160,1,1
3.254807840,1,0
3.254825200,1,1
3.254842560,1,0
3.254851240,1,1
3.254859960,1,0
3.254868600,1,1
3.254877280,1,0
3.254894680,1,1
3.254903320,1,0
3.254912000,1,1
3.254920720,1,0
3.254938040,1,1
3.254946760,1,0
3.254964120,1,1
3.254972800,1,0
3.254981480,1,1
3.255007520,1,0
3.255024880,1,1
3.255033600,1,0
3.255050920,1,1
3.255068320,1,0
3.255085680,1,1
3.255103040,1,0
3.255111720,1,1
3.255120400,1,0
3.255137760,1,1
3.255146440,1,0
3.255163800,1,1
3.255181160,1,0
3.255198520,1,1
3.255207240,1,0
3.255224560,1,1
3.255241960,1,0
3.255250600,1,1
3.255268000,1,0
3.255285360,1,1
3.255294040,1,0
3.255328760,1,1
3.255354800,1,0
3.255372160,1,1
3.255380880,1,0
3.255415600,1,1
3.255441640,1,0
3.255459000,1,1
3.255467680,1,0
3.255476360,1,1
3.255485040,1,0
3.255502400,1,1
3.255528440,1,0
3.255545800,1,1
3.255554520,1,0
3.255563160,1,1
3.255571880,1,0
3.255606600,1,1
3.255623960,1,0
3.255632640,1,1
3.255641320,1,0
3.255658680,1,1
3.255667360,1,0
3.255676040,1,1
3.255684720,1,0
3.255719480,1,1
3.414333880,1,0
3.414351240,1,1
3.414377280,1,0
3.414394640,1,1
3.414403360,1,0
3.414412000,1,1
3.414420680,1,0
3.414429360,1,1
3.414464120,1,0
3.414481440,1,1
3.414490160,1,0
3.414498840,1,1
3.414507520,1,0
3.414533560,1,1
3.414542240,1,0
3.414550920,1,1
3.414559600,1,0
3.414568280,1,1
3.414577000,1,0
3.414585640,1,1
3.414594320,1,0
3.414603040,1,1
3.414611720,1,0
3.414629080,1,1
3.414637760,1,0
3.414655120,1,1
3.414663800,1,0
3.414672480,1,1
3.414681160,1,0
3.414689840,1,1
3.414707200,1,0
3.414741920,1,1
3.414750640,1,0
3.414759280,1,1
3.414768000,1,0
3.414776680,1,1
3.414785360,1,0
3.414794000,1,1
3.414802720,1,0
3.414828760,1,1
3.414837440,1,0
3.414846120,1,1
3.414854800,1,0
3.414872160,1,1
3.414880840,1,0
3.414889520,1,1
3.414915600,1,0
3.414932920,1,1
3.414941640,1,0
3.414993720,1,1
3.415002400,1,0
3.415019760,1,1
3.415028440,1,0
3.415080520,1,1
3.415089240,1,0
3.415106560,1,1
3.415115280,1,0
3.415132640,1,1
3.415141320,1,0
3.415176040,1,1
3.415184720,1,0
3.415193400,1,1
3.415202080,1,0
3.415228120,1,1
3.415245480,1,0
3.415262880,1,1
3.415271560,1,0
3.415280200,1,1
3.415288920,1,0
3.415297600,1,1
3.415306280,1,0
3.415332320,1,1
3.415349680,1,0
3.415367040,1,1
3.415375760,1,0
3.415393080,1,1
3.415401800,1,0
3.415410480,1,1
3.415436520,1,0
3.415453840,1,1
3.415462560,1,0
3.415514640,1,1
3.415523320,1,0
3.415540680,1,1
3.415549400,1,0
3.415566720,1,1
3.415575440,1,0
3.415610160,1,1
3.415618840,1,0
3.415627520,1,1
3.415636200,1,0
3.415644880,1,1
3.415653560,1,0
3.415662240,1,1
3.415670920,1,0
3.415679600,1,1
3.415705640,1,0
3.415714320,1,1
3.415723040,1,0
3.415731680,1,1
3.415740360,1,0
3.415757760,1,1
3.415766440,1,0
3.415775120,1,1
3.415792480,1,0
3.415801160,1,1
3.415809840,1,0
3.415835880,1,1
3.415853240,1,0
3.415861920,1,1
3.415879280,1,0
3.415887960,1,1
3.415896680,1,0
3.415922720,1,1
3.415931400,1,0
3.415940040,1,1
3.415966120,1,0
3.415974800,1,1
3.415983480,1,0
3.416035560,1,1
3.416044240,1,0
3.416061600,1,1
3.416070320,1,0
3.416087640,1,1
3.416096360,1,0
3.416105040,1,1
3.416131080,1,0
3.416148440,1,1
3.416157120,1,0
3.416209200,1,1
3.416217880,1,0
3.416235280,1,1
3.416243960,1,0
3.416252600,1,1
3.416261320,1,0
3.416287360,1,1
3.416304720,1,0
3.416322080,1,1
3.416330760,1,0
3.416339440,1,1
3.416356800,1,0
3.416374160,1,1
3.416391520,1,0
3.416408920,1,1
3.416417600,1,0
3.416434960,1,1
3.416443640,1,0
3.416452320,1,1
3.416478360,1,0
3.416495720,1,1
3.416504400,1,0
3.416547800,1,1
3.416565160,1,0
3.416582560,1,1
3.416591240,1,0
3.416617280,1,1
3.416625960,1,0
3.416634640,1,1
3.416652000,1,0
3.416669360,1,1
3.416678040,1,0
3.416695400,1,1
3.416704080,1,0
3.416712760,1,1
3.416738800,1,0
3.416756200,1,1
3.416764880,1,0
3.416790920,1,1
3.416799600,1,0
3.416808280,1,1
3.416825640,1,0
3.416843000,1,1
3.416851680,1,0
3.416886400,1,1
3.416912480,1,0
3.416929840,1,1
3.416938520,1,0
3.416964560,1,1
3.416981920,1,0
3.416990600,1,1
3.416999280,1,0
3.417016640,1,1
3.417025320,1,0
3.417077440,1,1
3.417086120,1,0
3.417103480,1,1
3.417112160,1,0
3.417129520,1,1
3.417138200,1,0
3.417146880,1,1
3.417155560,1,0
3.417172920,1,1
3.417181640,1,0
3.417190280,1,1
3.417198960,1,0
3.417207680,1,1
3.417216360,1,0
3.417225000,1,1
3.417233720,1,0
3.417242400,1,1
3.417268440,1,0
3.417277120,1,1
3.417285800,1,0
3.417311840,1,1
3.417329200,1,0
3.417337880,1,1
3.417355280,1,0
3.417363920,1,1
3.417372640,1,0
3.417424720,1,1
3.417433400,1,0
3.417450760,1,1
3.417459440,1,0
3.417468120,1,1
3.417485480,1,0
3.417502840,1,1
3.417520240,1,0
3.417537560,1,1
3.417546280,1,0
3.417589680,1,1
3.417607040,1,0
3.417624400,1,1
3.417633080,1,0
3.417685160,1,1
3.417693880,1,0
3.417711200,1,1
3.417719920,1,0
3.417737280,1,1
3.417745960,1,0
3.417763320,1,1
3.417780680,1,0
3.417798040,1,1
3.417806720,1,0
3.417850120,1,1
3.417867520,1,0
3.417884840,1,1
3.417893560,1,0
3.417902240,1,1
3.417910920,1,0
3.417936960,1,1
3.417954320,1,0
3.417971680,1,1
3.417980360,1,0
3.418015120,1,1
3.418041160,1,0
3.418058480,1,1
3.418067200,1,0
3.418084560,1,1
3.418093240,1,0
3.418101920,1,1
3.418110600,1,0
3.418145320,1,1
3.561017400,1,0
3.561026120,1,1
3.561034760,1,0
3.561052160,1,1
3.561060840,1,0
3.561078200,1,1
3.561086880,1,0
3.561095560,1,1
3.561104240,1,0
3.561121600,1,1
3.561147640,1,0
3.561165000,1,1
3.561173680,1,0
3.561182360,1,1
3.561191080,1,0
3.561208400,1,1
3.561225800,1,0
3.561251840,1,1
3.561260520,1,0
3.561269200,1,1
3.561277880,1,0
3.561286560,1,1
3.561321280,1,0
3.561338640,1,1
3.561347320,1,0
3.561356000,1,1
3.561364720,1,0
3.561382040,1,1
3.561390760,1,0
3.561399440,1,1
3.561425480,1,0
3.561442840,1,1
3.561451520,1,0
3.561503600,1,1
3.561512320,1,0
3.561529640,1,1
3.561538360,1,0
3.561590440,1,1
3.561599120,1,0
3.561616480,1,1
3.561625160,1,0
3.561677240,1,1
3.561685960,1,0
3.561703280,1,1
3.561712000,1,0
3.561764080,1,1
3.561772760,1,0
3.561790120,1,1
3.561798800,1,0
3.561816160,1,1
3.561824880,1,0
3.561859600,1,1
3.561868240,1,0
3.561876960,1,1
3.561885640,1,0
3.561911680,1,1
3.561929040,1,0
3.561946400,1,1
3.561955080,1,0
3.561963760,1,1
3.561972440,1,0
3.561981120,1,1
3.561989800,1,0
3.562015840,1,1
3.562033240,1,0
3.562050600,1,1
3.562059280,1,0
3.562076640,1,1
3.562085320,1,0
3.562094000,1,1
3.562120040,1,0
3.562137400,1,1
3.562146080,1,0
3.562198200,1,1
3.562206880,1,0
3.562224240,1,1
3.562232920,1,0
3.562250280,1,1
3.562258960,1,0
3.562276320,1,1
3.562285000,1,0
3.562293680,1,1
3.562302360,1,0
3.562311040,1,1
3.562319720,1,0
3.562328400,1,1
3.562337120,1,0
3.562380520,1,1
3.562389200,1,0
3.562397880,1,1
3.562406560,1,0
3.562415240,1,1
3.562423920,1,0
3.562432600,1,1
3.562449960,1,0
3.562467320,1,1
3.562476000,1,0
3.562484680,1,1
3.562493360,1,0
3.562545480,1,1
3.562554160,1,0
3.562571520,1,1
3.562580200,1,0
3.562623600,1,1
3.562640960,1,0
3.562658360,1,1
3.562667000,1,0
3.562701720,1,1
3.562736480,1,0
3.562745160,1,1
3.562753840,1,0
3.562762520,1,1
3.562779880,1,0
3.562797240,1,1
3.562814600,1,0
3.562832000,1,1
3.562840640,1,0
3.562884080,1,1
3.562901440,1,0
3.562918800,1,1
3.562927480,1,0
3.562944840,1,1
3.562953520,1,0
3.562970880,1,1
3.562988240,1,0
3.563005640,1,1
3.563014280,1,0
3.563057720,1,1
3.563075080,1,0
3.563092440,1,1
3.563101120,1,0
3.563144560,1,1
3.563161920,1,0
3.563179280,1,1
3.563187960,1,0
3.563231360,1,1
3.563248720,1,0
3.563266080,1,1
3.563274760,1,0
3.563318200,1,1
3.563335560,1,0
3.563352920,1,1
3.563361600,1,0
3.563405000,1,1
3.563422360,1,0
3.563439720,1,1
3.563448400,1,0
3.563500480,1,1
3.563509200,1,0
3.563526560,1,1
3.563535240,1,0
3.563543920,1,1
3.563552600,1,0
3.563561280,1,1
3.563578640,1,0
3.563587320,1,1
3.563596000,1,0
3.563613360,1,1
3.563622040,1,0
3.563674120,1,1
3.563682840,1,0
3.563700200,1,1
3.563708880,1,0
3.563752280,1,1
3.563769680,1,0
3.563787000,1,1
3.563795720,1,0
3.563830440,1,1
3.563865160,1,0
3.563873840,1,1
3.563882520,1,0
3.563891200,1,1
3.563908560,1,0
3.563925920,1,1
3.563943320,1,0
3.563960640,1,1
3.563969360,1,0
3.564012760,1,1
3.564030120,1,0
3.564047480,1,1
3.564056160,1,0
3.564073520,1,1
3.564082200,1,0
3.564099560,1,1
3.564116960,1,0
3.564134280,1,1
3.564143000,1,0
3.564186400,1,1
3.564203760,1,0
3.564221120,1,1
3.564229800,1,0
3.564238480,1,1
3.564247160,1,0
3.564264520,1,1
3.564290600,1,0
3.564307920,1,1
3.564316640,1,0
3.564360040,1,1
3.564377400,1,0
3.564394760,1,1
3.564403440,1,0
3.564446840,1,1
3.564464240,1,0
3.564481600,1,1
3.564490280,1,0
3.564533680,1,1
3.564551040,1,0
3.564568400,1,1
3.564577080,1,0
3.564594440,1,1
3.564603160,1,0
3.564611800,1,1
3.564620480,1,0
3.564655240,1,1
3.662802400,1,0
3.662811080,1,1
3.662819760,1,0
3.662837120,1,1
3.662845800,1,0
3.662863160,1,1
3.662871840,1,0
3.662880520,1,1
3.662889200,1,0
3.662906560,1,1
3.662932640,1,0
3.662949960,1,1
3.662958680,1,0
3.662967360,1,1
3.662976040,1,0
3.662993400,1,1
3.663010760,1,0
3.663036800,1,1
3.663045480,1,0
3.663054160,1,1
3.663062840,1,0
3.663071520,1,1
3.663106280,1,0
3.663123640,1,1
3.663132320,1,0
3.663141000,1,1
3.663149680,1,0
3.663167040,1,1
3.663175720,1,0
3.663184400,1,1
3.663210440,1,0
3.663227800,1,1
3.663236480,1,0
3.663288560,1,1
3.663297280,1,0
3.663314640,1,1
3.663323320,1,0
3.663375400,1,1
3.663384120,1,0
3.663401440,1,1
3.663410160,1,0
3.663462200,1,1
3.663470920,1,0
3.663488280,1,1
3.663496960,1,0
3.663549040,1,1
3.663557760,1,0
3.663575080,1,1
3.663583800,1,0
3.663592480,1,1
3.663601120,1,0
3.663609840,1,1
3.663618520,1,0
3.663627200,1,1
3.663635880,1,0
3.663644560,1,1
3.663653240,1,0
3.663661920,1,1
3.663670600,1,0
3.663679280,1,1
3.663696640,1,0
3.663714000,1,1
3.663740040,1,0
3.663748720,1,1
3.663757440,1,0
3.663766120,1,1
3.663774800,1,0
3.663792160,1,1
3.663800840,1,0
3.663809520,1,1
3.663826880,1,0
3.663835560,1,1
3.663844240,1,0
3.663861600,1,1
3.663887640,1,0
3.663896320,1,1
3.663913680,1,0
3.663922360,1,1
3.663931080,1,0
3.663939760,1,1
3.663965800,1,0
3.663983160,1,1
3.664000520,1,0
3.664009200,1,1
3.664017880,1,0
3.664069960,1,1
3.664078680,1,0
3.664096040,1,1
3.664104720,1,0
3.664113400,1,1
3.664130760,1,0
3.664156800,1,1
3.664174160,1,0
3.664182840,1,1
3.664191520,1,0
3.664208880,1,1
3.664217600,1,0
3.664234920,1,1
3.664261000,1,0
3.664269680,1,1
3.664278360,1,0
3.664287040,1,1
3.664295720,1,0
3.664313080,1,1
3.664347800,1,0
3.664356480,1,1
3.664365160,1,0
3.664408560,1,1
3.664434640,1,0
3.664443320,1,1
3.664452000,1,0
3.664478040,1,1
3.664486720,1,0
3.664495400,1,1
3.664521440,1,0
3.664530120,1,1
3.664538800,1,0
3.664547480,1,1
3.664582240,1,0
3.664590920,1,1
3.664608280,1,0
3.664616960,1,1
3.664625640,1,0
3.664677720,1,1
3.664686400,1,0
3.664703800,1,1
3.664712440,1,0
3.664738520,1,1
3.664755880,1,0
3.664764560,1,1
3.664781920,1,0
3.664790600,1,1
3.664799280,1,0
3.664807960,1,1
3.664816640,1,0
3.664834000,1,1
3.664842680,1,0
3.664851360,1,1
3.664868760,1,0
3.664877440,1,1
3.664886080,1,0
3.664903480,1,1
3.664912160,1,0
3.664938200,1,1
3.664955560,1,0
3.664964240,1,1
3.664972920,1,0
3.664990280,1,1
3.664998960,1,0
3.665016320,1,1
3.665042400,1,0
3.665051080,1,1
3.665059720,1,0
3.665068400,1,1
3.665077120,1,0
3.665111840,1,1
3.665129200,1,0
3.665137880,1,1
3.665146560,1,0
3.665163920,1,1
3.665172600,1,0
3.665189960,1,1
3.665216040,1,0
3.665224720,1,1
3.665233400,1,0
3.665242080,1,1
3.665250760,1,0
3.665268120,1,1
3.665302840,1,0
3.665311520,1,1
3.665320200,1,0
3.665372280,1,1
3.665381000,1,0
3.665398360,1,1
3.665407040,1,0
3.665415720,1,1
3.665441760,1,0
3.665459120,1,1
3.665467800,1,0
3.665485160,1,1
3.665493840,1,0
3.665502520,1,1
3.665519880,1,0
3.665537280,1,1
3.665545920,1,0
3.665554600,1,1
3.665563320,1,0
3.665572000,1,1
3.665580680,1,0
3.665606720,1,1
3.665615400,1,0
3.665624080,1,1
3.665632760,1,0
3.665641440,1,1
3.665650120,1,0
3.665658800,1,1
3.665667480,1,0
3.665676160,1,1
3.665684840,1,0
3.665693520,1,1
3.665710920,1,0
3.665728280,1,1
3.665736960,1,0
3.665745640,1,1
3.665754320,1,0
3.665806400,1,1
3.665815080,1,0
3.665832440,1,1
3.665841120,1,0
3.665849840,1,1
3.665858480,1,0
3.665901920,1,1
3.665910600,1,0
3.665919280,1,1
3.665927960,1,0
3.665954000,1,1
3.665962680,1,0
3.665971360,1,1
3.665980040,1,0
3.665988720,1,1
3.665997400,1,0
3.666006080,1,1
3.666014800,1,0
3.666032120,1,1
3.666049520,1,0
3.666075560,1,1
3.666084240,1,0
3.666092920,1,1
3.666101600,1,0
3.666153680,1,1
3.666162400,1,0
3.666179720,1,1
3.666188440,1,0
3.666197120,1,1
3.666205760,1,0
3.666214480,1,1
3.666231840,1,0
3.666249200,1,1
3.666257880,1,0
3.666266560,1,1
3.666275240,1,0
3.666283920,1,1
3.666292600,1,0
3.666309960,1,1
3.666318640,1,0
3.666327320,1,1
3.666344680,1,0
3.666353360,1,1
3.666362080,1,0
3.666379400,1,1
3.666405480,1,0
3.666414160,1,1
3.666431520,1,0
3.666440200,1,1
3.666448880,1,0
3.666457560,1,1
3.666466240,1,0
3.666483600,1,1
3.666492280,1,0
3.666500960,1,1
3.666518320,1,0
3.666527000,1,1
3.666535720,1,0
3.666587800,1,1
3.666596480,1,0
3.666613840,1,1
3.666622520,1,0
3.666631200,1,1
3.666648600,1,0
3.666683320,1,1
3.666691960,1,0
3.666700680,1,1
3.666709360,1,0
3.666718040,1,1
3.666726720,1,0
3.666735400,1,1
3.666744080,1,0
3.666761440,1,1
3.666778800,1,0
3.666787480,1,1
3.666796160,1,0
3.666813520,1,1
3.666822240,1,0
3.666839560,1,1
3.666865640,1,0
3.666874320,1,1
3.666883000,1,0
3.666909040,1,1
3.666917720,1,0
3.666926400,1,1
3.666952440,1,0
3.666961120,1,1
3.666969800,1,0
3.666978480,1,1
3.666987200,1,0
3.667004520,1,1
3.667013240,1,0
3.667021920,1,1
3.667039280,1,0
3.667047960,1,1
3.667056640,1,0
3.667074000,1,1
3.667091360,1,0
3.667108720,1,1
